pCode,team,name,displayId,backNo,position,throwBat,birthday,heightWeight,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MultiHit,RISP_AVG,PH_AVG
66662,SSG,신범수,SSG25신범수,25,포수,우투좌타,1998년 01월 25일,177cm/83kg,0.182,29,39,33,1,6,1,0,1,10,3,0,0,5,0,1,7,0,0.303,0.308,0.611,0,0.143,0.400
66917,SSG,김찬형,SSG5김찬형,5,내야수,우투우타,1997년 12월 29일,182cm/83kg,0.178,44,78,73,4,13,2,0,0,15,5,1,0,3,0,1,13,3,0.205,0.221,0.426,3,0.250,0.000
54805,SSG,박지환,SSG0박지환,0,외야수,우투우타,2005년 07월 12일,183cm/75kg,0.150,31,68,60,3,9,0,0,0,9,4,3,1,4,0,0,19,1,0.150,0.200,0.350,1,0.176,0.000
68805,SSG,최상민,SSG최상민,,외야수,좌투좌타,1999년 08월 20일,178cm/75kg,0.143,23,9,7,5,1,0,0,0,1,1,0,0,1,0,1,5,0,0.143,0.333,0.476,0,0.000,0.000
69813,SSG,하재훈,SSG24하재훈,24,외야수,우투우타,1990년 10월 29일,182cm/90kg,0.143,18,61,56,6,8,0,0,3,17,8,0,1,4,0,0,21,1,0.304,0.197,0.501,1,0.167,0.000
67900,SSG,김수윤,SSG김수윤,,내야수,우투우타,1998년 07월 16일,180cm/83kg,0.091,7,12,11,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0.091,0.167,0.258,0,0.000,0.000
71837,SSG,김강민,SSG김강민,,외야수,우투우타,1982년 09월 13일,182cm/87kg,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
69825,SSG,김창평,SSG64김창평,64,외야수,우투좌타,2000년 06월 14일,185cm/85kg,-,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
67807,SSG,이정범,SSG0이정범,0,외야수,좌투좌타,1998년 04월 10일,178cm/88kg,0.000,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.000,0.000
52807,SSG,임근우,SSG63임근우,63,외야수,우투우타,1999년 07월 22일,180cm/88kg,0.000,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000
55712,한화,이승현,한화8이승현,8,내야수,우투좌타,2002년 07월 23일,172cm/77kg,1.000,4,1,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,3.000,1.000,4.000,0,1.000,1.000
51762,한화,장규현,한화32장규현,32,포수,우투좌타,2002년 06월 28일,183cm/96kg,1.000,2,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1.000,1.000,2.000,0,0.000,0.000
53764,한화,문현빈,한화51문현빈,51,외야수,우투좌타,2004년 04월 20일,174cm/82kg,0.320,141,592,528,71,169,30,2,12,239,80,5,11,38,2,10,82,11,0.453,0.370,0.823,53,0.319,0.250
55703,한화,리베라토,한화0리베라토,0,외야수,좌투좌타,1995년 12월 18일,185cm/79kg,0.313,62,273,246,41,77,18,2,10,129,39,0,4,23,0,0,47,3,0.524,0.366,0.890,22,0.339,0.000
62700,한화,하주석,한화30하주석,30,내야수,우투좌타,1994년 02월 25일,185cm/92kg,0.297,95,305,276,34,82,14,0,4,108,28,11,1,12,0,5,66,10,0.391,0.337,0.728,24,0.329,0.091
77532,한화,손아섭,한화24손아섭,24,외야수,우투좌타,1988년 03월 18일,174cm/84kg,0.288,111,416,372,39,107,22,3,1,138,50,4,2,37,2,1,59,3,0.371,0.352,0.723,24,0.310,0.222
79192,한화,채은성,한화22채은성,22,내야수,우투우타,1990년 02월 06일,186cm/92kg,0.288,132,527,480,54,138,27,1,19,224,88,3,0,31,5,13,96,4,0.467,0.347,0.814,39,0.333,0.000
78288,한화,최재훈,한화13최재훈,13,포수,우투우타,1989년 08월 27일,178cm/94kg,0.286,121,348,269,28,77,15,0,1,95,35,10,6,46,0,17,48,4,0.353,0.414,0.767,16,0.355,0.000
66657,한화,이진영,한화10이진영,10,외야수,우투우타,1997년 07월 21일,183cm/89kg,0.274,115,366,321,49,88,13,0,11,134,43,0,5,38,0,2,93,8,0.417,0.350,0.767,19,0.239,0.250
54795,한화,황영묵,한화95황영묵,95,내야수,우투좌타,1999년 10월 16일,177cm/80kg,0.273,117,286,260,40,71,17,1,1,93,22,2,1,20,0,2,37,4,0.358,0.329,0.687,18,0.300,0.455
55734,한화,플로리얼,한화플로리얼,,외야수,우투좌타,1997년 11월 25일,185cm/88kg,0.271,65,285,258,36,70,18,2,8,116,29,0,2,24,2,1,65,2,0.450,0.333,0.783,21,0.222,0.000
66704,한화,김태연,한화25김태연,25,외야수,우투우타,1997년 06월 10일,178cm/96kg,0.261,120,340,303,40,79,15,0,3,103,20,6,0,23,0,8,62,10,0.340,0.329,0.669,19,0.197,0.067
65703,한화,이도윤,한화5이도윤,5,내야수,우투좌타,1996년 10월 07일,175cm/79kg,0.260,113,277,250,37,65,11,3,1,85,36,10,3,11,1,3,52,5,0.340,0.296,0.636,13,0.250,0.400
69737,한화,노시환,한화8노시환,8,내야수,우투우타,2000년 12월 03일,185cm/105kg,0.260,144,624,539,97,140,28,2,32,268,101,0,4,70,10,11,125,22,0.497,0.354,0.851,37,0.290,0.000
50707,한화,최인호,한화41최인호,41,외야수,우투좌타,2000년 01월 30일,178cm/82kg,0.259,78,159,139,7,36,9,0,2,51,19,1,1,13,0,5,29,5,0.367,0.342,0.709,6,0.300,0.308
64006,한화,심우준,한화7심우준,7,내야수,우투우타,1995년 04월 28일,183cm/75kg,0.231,94,275,247,39,57,9,1,2,74,22,7,1,17,0,3,49,4,0.300,0.287,0.587,9,0.250,0.000
