pCode,team,name,displayId,backNo,position,throwBat,birthday,heightWeight,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,OAVG,2B,3B,SAC,SF,IBB,WP,BK
65516,KT,배제성,KT19배제성,19,투수,우투좌타,1996년 09월 29일,189cm/85kg,5.67,8,2,3,0,0,0.400,27,38,2,11,0,23,17,17,1.81,0,0,0,0,127,514,0.330,5,1,1,0,1,1,0
68896,KT,이채호,KT17이채호,17,투수,우언우타,1998년 11월 23일,185cm/85kg,6.17,10,0,0,0,0,-,11 2/3,12,1,5,2,8,8,8,1.46,0,0,0,0,53,195,0.286,3,2,1,3,1,0,0
79140,KT,최동환,KT16최동환,16,투수,우투우타,1989년 09월 19일,184cm/83kg,8.68,20,1,1,0,0,0.500,18 2/3,27,4,12,1,9,19,18,2.09,0,0,0,0,91,326,0.351,5,1,0,1,2,0,0
55043,KT,김재원,KT43김재원,43,투수,우투우타,2006년 08월 21일,190cm/90kg,10.38,4,0,0,0,0,-,4 1/3,3,0,8,1,4,5,5,2.54,0,0,0,0,24,99,0.214,1,0,0,1,0,3,0
55040,KT,김동현,KT40김동현,40,투수,우투우타,2006년 01월 21일,193cm/97kg,13.50,3,0,0,0,0,-,3 1/3,7,2,3,0,4,5,5,3.00,0,0,0,0,19,66,0.438,0,0,0,0,0,3,0
51058,KT,한차현,KT2한차현,2,투수,우투우타,1998년 11월 30일,180cm/80kg,16.20,2,0,0,0,0,-,1 2/3,4,0,2,0,1,3,3,3.60,0,0,0,0,11,40,0.444,0,0,0,0,0,1,0
67048,KT,이정현,KT21이정현,21,투수,우투우타,1997년 12월 05일,188cm/93kg,16.62,6,0,0,0,0,-,4 1/3,9,0,4,1,3,8,8,3.00,0,0,0,0,27,100,0.429,3,0,0,1,0,0,0
68050,KT,강백호,KT50강백호,50,투수,우투좌타,1999년 07월 29일,184cm/98kg,18.00,1,0,0,0,0,-,1,3,1,1,0,1,2,2,4.00,0,0,0,0,7,25,0.500,1,0,0,0,0,0,0
53006,KT,강건,KT강건,,투수,우투우타,2004년 07월 12일,183cm/85kg,24.55,2,0,1,0,0,0.000,3 2/3,7,1,7,1,1,10,10,3.82,0,0,0,0,26,104,0.500,2,0,2,2,0,0,0
50904,LG,이종준,LG40이종준,40,투수,우투우타,2001년 03월 09일,191cm/93kg,0.00,2,0,0,0,0,-,1 2/3,0,0,1,0,2,0,0,0.60,0,0,0,0,6,33,0.000,0,0,0,0,0,0,0
77263,LG,김강률,LG37김강률,37,투수,우투우타,1988년 08월 28일,187cm/95kg,1.46,12,1,0,1,4,1.000,12 1/3,7,0,8,1,9,2,2,1.22,0,0,0,0,51,182,0.167,1,0,0,0,0,0,0
61145,LG,이우찬,LG21이우찬,21,투수,좌투좌타,1992년 08월 04일,185cm/97kg,1.89,23,0,1,0,0,0.000,19,13,0,14,1,20,6,4,1.42,0,0,0,0,86,338,0.186,2,0,1,0,0,3,0
55167,LG,김영우,LG67김영우,67,투수,우투우타,2005년 01월 14일,185cm/90kg,2.40,66,3,2,1,7,0.600,60,49,2,30,3,56,17,16,1.32,0,0,0,3,255,957,0.228,13,0,5,2,2,5,0
50106,LG,유영찬,LG54유영찬,54,투수,우투좌타,1997년 03월 07일,185cm/90kg,2.63,39,2,2,21,1,0.500,41,31,2,23,3,52,14,12,1.32,0,0,0,1,177,672,0.208,7,0,1,1,3,3,0
